primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
349,1217,406
107,1218,406
350,1219,407
253,1220,407
252,1221,407
351,1222,408
350,1223,408
252,1224,408
252,1225,409
303,1226,409
351,1227,409
212,1228,410
299,1229,410
342,1230,410
352,1231,411
250,1232,411
206,1233,411
206,1234,412
204,1235,412
353,1236,412
353,1237,413
352,1238,413
206,1239,413
203,1240,414
202,1241,414
354,1242,414
355,1243,415
297,1244,415
203,1245,415
354,1246,416
355,1247,416
203,1248,416
332,1249,417
263,1250,417
197,1251,417
339,1252,418
343,1253,418
356,1254,418
339,1255,419
356,1256,419
338,1257,419
207,1258,420
253,1259,420
357,1260,420
358,1261,421
208,1262,421
207,1263,421
207,1264,422
357,1265,422
358,1266,422
114,1267,423
269,1268,423
359,1269,423
359,1270,424
256,1271,424
114,1272,424
194,1273,425
192,1274,425
360,1275,425
360,1276,426
317,1277,426
194,1278,426
361,1279,427
262,1280,427
130,1281,427
130,1282,428
309,1283,428
361,1284,428
169,1285,429
267,1286,429
362,1287,429
362,1288,430
249,1289,430
169,1290,430
363,1291,431
16,1292,431
12,1293,431
12,1294,432
94,1295,432
363,1296,432
364,1297,433
311,1298,433
216,1299,433
313,1300,434
364,1301,434
216,1302,434
365,1303,435
223,1304,435
183,1305,435
183,1306,436
347,1307,436
365,1308,436
366,1309,437
214,1310,437
215,1311,437
215,1312,438
255,1313,438
366,1314,438
367,1315,439
235,1316,439
231,1317,439
231,1318,440
232,1319,440
368,1320,440
368,1321,441
367,1322,441
231,1323,441
209,1324,442
335,1325,442
369,1326,442
369,1327,443
329,1328,443
209,1329,443
220,1330,444
218,1331,444
370,1332,444
370,1333,445
305,1334,445
220,1335,445
175,1336,446
227,1337,446
371,1338,446
371,1339,447
176,1340,447
175,1341,447
188,1342,448
272,1343,448
372,1344,448
372,1345,449
323,1346,449
188,1347,449
373,1348,450
177,1349,450
238,1350,450
238,1351,451
239,1352,451
374,1353,451
374,1354,452
373,1355,452
238,1356,452
164,1357,453
293,1358,453
375,1359,453
375,1360,454
325,1361,454
164,1362,454
365,1363,455
225,1364,455
223,1365,455
376,1366,456
239,1367,456
240,1368,456
240,1369,457
280,1370,457
376,1371,457
265,1372,458
266,1373,458
377,1374,458
378,1375,459
268,1376,459
265,1377,459
265,1378,460
377,1379,460
379,1380,460
265,1381,461
379,1382,461
378,1383,461
380,1384,462
335,1385,462
254,1386,462
254,1387,463
326,1388,463
380,1389,463
343,1390,464
344,1391,464
381,1392,464
381,1393,465
356,1394,465
343,1395,465
253,1396,466
350,1397,466
382,1398,466
253,1399,467
382,1400,467
357,1401,467
236,1402,468
323,1403,468
347,1404,468
77,1405,469
243,1406,469
383,1407,469
383,1408,470
324,1409,470
77,1410,470
384,1411,471
274,1412,471
273,1413,471
273,1414,472
298,1415,472
385,1416,472
273,1417,473
385,1418,473
384,1419,473
386,1420,474
