diamond_tag,primal_a,primal_b,center_x,center_y,center_z,grad_x,grad_y,grad_z,error_to_exact_surface_gradient
301,75,82,-0.8131692419336858,0.3763331370337808,0.42933073118386,-0.3577747570610591,0.26014992362682937,-0.9105994178563654,0.009703842448942023
302,75,83,-0.7604072926991832,0.17216073745495902,0.6151280339044278,-1.2009083476894715,0.3358877868067982,-1.5761774912479418,0.061368309920722106
303,75,87,-0.709332203875128,0.30274417374330714,0.6267205960802664,-0.9078008135794965,0.811470793377673,-1.4130993678661068,0.07459919029807108
304,75,125,-0.7399082765721611,0.39263352776893967,0.5361235458841471,-0.551313033303694,0.7182655023755374,-1.2860046314619933,0.026101269936350584
305,76,102,-0.32776842041574095,-0.5805466698936586,-0.733937418921625,1.1531572260449074,-0.48808444376865157,-0.13347054763842328,0.07664784726518174
306,76,103,-0.3067387111606053,-0.4660791777744845,-0.8195830194288009,1.4893760760997676,-0.6093487200150206,-0.22021216075529476,0.023535373634766987
307,76,116,-0.49018263443928545,-0.31837235008266107,-0.801851169247076,0.9113256094546749,-0.7214669928809194,-0.25692130563043614,0.02117003227432015
308,76,180,-0.5567850793034439,-0.3855812285591667,-0.7283186681064874,0.7206419982232506,-0.7454093953817224,-0.14048685817770598,0.017601869383660613
309,76,184,-0.39180718376165374,-0.3547240024858177,-0.8398689710264716,1.358506278663436,-0.7720614152874222,-0.30656508811964334,0.01349613603968779
310,77,136,0.36711904213646807,-0.8851992499165287,-0.25613215263678524,0.3525658400521738,0.09607628431796766,0.15922819577097574,0.09412705238818904
311,77,151,0.4018162302791899,-0.9092759315894857,0.019298831390704704,0.3957258133256857,0.20303652930748306,1.3799132249047805,0.06509426438661513
312,77,172,0.47571646550456764,-0.8552918525281243,-0.17732089420844624,0.779568390360183,0.27701322611712775,0.6918703779125945,0.08854099584079063
313,77,192,0.481212505779726,-0.8690530039962793,-0.06651253648164737,0.7749963709633636,0.3295526422551985,1.1992463450280564,0.061834720142558475
314,78,79,0.12130097682834608,-0.934400564712319,0.3141664679789564,-0.7208915881569733,0.11577320896585262,0.6226473060598996,0.06196079142781027
315,78,80,0.022067763003735943,-0.9061644013129329,0.40672559049247603,-0.726757655559124,-0.023969506644428804,-0.005855056263422809,0.02640451053656031
