primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
9,934,312
173,935,312
8,936,312
19,937,313
175,938,313
18,939,313
17,940,314
176,941,314
16,942,314
11,943,315
180,944,315
10,945,315
20,946,316
181,947,316
21,948,316
24,949,317
182,950,317
23,951,317
14,952,318
183,953,318
15,954,318
18,955,319
186,956,319
19,957,319
16,958,320
187,959,320
17,960,320
2,961,321
229,962,321
77,963,321
170,964,322
202,965,322
166,966,322
37,967,323
210,968,323
43,969,323
71,970,324
166,971,324
102,972,324
29,973,325
191,974,325
53,975,325
43,976,326
206,977,326
98,978,326
92,979,327
227,980,327
94,981,327
94,982,328
227,983,328
113,984,328
49,985,329
197,986,329
164,987,329
157,988,330
158,989,330
97,990,330
106,991,331
149,992,331
148,993,331
30,994,332
191,995,332
29,996,332
128,997,333
217,998,333
130,999,333
130,1000,334
225,1001,334
128,1002,334
68,1003,335
164,1004,335
160,1005,335
181,1006,336
223,1007,336
50,1008,336
111,1009,337
132,1010,337
109,1011,337
10,1012,338
231,1013,338
47,1014,338
111,1015,339
200,1016,339
133,1017,339
39,1018,340
204,1019,340
38,1020,340
34,1021,341
203,1022,341
33,1023,341
104,1024,342
230,1025,342
103,1026,342
13,1027,343
213,1028,343
51,1029,343
60,1030,344
193,1031,344
175,1032,344
137,1033,345
216,1034,345
149,1035,345
4,1036,346
199,1037,346
169,1038,346
149,1039,347
222,1040,347
137,1041,347
54,1042,348
167,1043,348
5,1044,348
6,1045,349
170,1046,349
54,1047,349
53,1048,350
171,1049,350
28,1050,350
178,1051,351
201,1052,351
48,1053,351
136,1054,352
146,1055,352
139,1056,352
56,1057,353
174,1058,353
26,1059,353
59,1060,354
173,1061,354
9,1062,354
60,1063,355
175,1064,355
19,1065,355
16,1066,356
176,1067,356
61,1068,356
21,1069,357
181,1070,357
50,1071,357
58,1072,358
182,1073,358
24,1074,358
51,1075,359
183,1076,359
14,1077,359
62,1078,360
180,1079,360
11,1080,360
67,1081,361
186,1082,361
18,1083,361
64,1084,362
187,1085,362
16,1086,362
68,1087,363
161,1088,363
30,1089,363
150,1090,364
151,1091,364
100,1092,364
145,1093,365
223,1094,365
132,1095,365
1,1096,366
219,1097,366
32,1098,366
178,1099,367
221,1100,367
145,1101,367
41,1102,368
195,1103,368
69,1104,368
33,1105,369
219,1106,369
1,1107,369
171,1108,370
190,1109,370
56,1110,370
148,1111,371
224,1112,371
64,1113,371
133,1114,372
145,1115,372
132,1116,372
123,1117,373
142,1118,373
115,1119,373
61,1120,374
217,1121,374
156,1122,374
3,1123,375
