primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
46,315,105
841,316,106
843,317,106
842,318,106
826,319,107
868,320,107
839,321,107
825,322,108
879,323,108
26,324,108
31,325,109
829,326,109
30,327,109
76,328,110
823,329,110
75,330,110
72,331,111
826,332,111
71,333,111
829,334,112
835,335,112
30,336,112
32,337,113
876,338,113
31,339,113
33,340,114
877,341,114
32,342,114
28,343,115
874,344,115
27,345,115
65,346,116
897,347,116
833,348,116
860,349,117
884,350,117
836,351,117
829,352,118
860,353,118
836,354,118
27,355,119
825,356,119
26,357,119
826,358,120
839,359,120
71,360,120
829,361,121
836,362,121
835,363,121
863,364,122
892,365,122
850,366,122
47,367,123
834,368,123
48,369,123
843,370,124
845,371,124
842,372,124
53,373,125
827,374,125
54,375,125
51,376,126
818,377,126
52,378,126
49,379,127
821,380,127
50,381,127
841,382,128
844,383,128
843,384,128
73,385,129
866,386,129
72,387,129
862,388,130
863,389,130
850,390,130
848,391,131
858,392,131
846,393,131
845,394,132
855,395,132
853,396,132
43,397,133
819,398,133
42,399,133
61,400,134
820,401,134
60,402,134
74,403,135
837,404,135
73,405,135
41,406,136
817,407,136
40,408,136
844,409,137
846,410,137
843,411,137
41,412,138
857,413,138
817,414,138
63,415,139
822,416,139
62,417,139
74,418,140
838,419,140
837,420,140
62,421,141
840,422,141
61,423,141
847,424,142
848,425,142
846,426,142
39,427,143
828,428,143
38,429,143
818,430,144
888,431,144
52,432,144
849,433,145
850,434,145
848,435,145
51,436,146
890,437,146
818,438,146
861,439,147
862,440,147
850,441,147
844,442,148
847,443,148
846,444,148
844,445,149
851,446,149
847,447,149
65,448,150
833,449,150
64,450,150
847,451,151
849,452,151
848,453,151
845,454,152
882,455,152
855,456,152
850,457,153
892,458,153
848,459,153
849,460,154
865,461,154
861,462,154
849,463,155
861,464,155
850,465,155
51,466,156
824,467,156
50,468,156
63,469,157
871,470,157
822,471,157
849,472,158
894,473,158
865,474,158
871,475,159
872,476,159
822,477,159
828,478,160
875,479,160
38,480,160
820,481,161
867,482,161
60,483,161
53,484,162
831,485,162
52,486,162
40,487,163
885,488,163
39,489,163
52,490,164
891,491,164
51,492,164
845,493,165
852,494,165
842,495,165
854,496,166
886,497,166
852,498,166
59,499,167
830,500,167
58,501,167
50,502,168
893,503,168
49,504,168
52,505,169
888,506,169
53,507,169
50,508,170
890,509,170
51,510,170
862,511,171
880,512,171
863,513,171
845,514,172
853,515,172
852,516,172
49,517,173
832,518,173
48,519,173
888,520,174
889,521,174
827,522,174
862,523,175
881,524,175
880,525,175
53,526,176
888,527,176
827,528,176
821,529,177
890,530,177
50,531,177
848,532,178
892,533,178
858,534,178
853,535,179
