diamond_tag,center_x,center_y,center_z,grad_x,grad_y,grad_z,error_to_exact_gradient
77,-0.923419900919864,1.7427762120445174,0.12741839643231148,-0.7723950075533474,0.008132747309291512,-1.3785121921171493,0.5808989629893349
78,-0.925920776516705,1.7430475376184382,-0.12428407615648672,-0.8214244630421894,-0.35907227369395395,0.2677310192829371,0.4758322264710883
79,-1.357136487449244,1.4603308817748628,-0.0005412276552953128,-0.5207661380811186,-0.4866938162230325,-1.1633668278736498,0.4246199604177996
80,-1.1721027514887654,1.5861559732611177,0.12726676179801827,-0.823147210161564,0.0639193176943886,-2.005781116816356,0.7972615398354517
81,-1.1720857966676732,1.5864747436077489,-0.12679352587837095,-0.7639155861048135,-0.3565755921441962,0.6275806201912895,0.5459753032526742
82,-1.2898568028847315,1.4938299407419666,0.12410019680980654,-0.9113313045079536,0.014784654864158586,-2.327513685291406,0.7813929897221102
83,-1.2895414517381227,1.492707249704103,-0.12643891956052622,-0.7305516253520826,-0.33190457064848033,0.846962035057419,0.49136634676208046
84,-1.5584904746663946,1.242854680373159,-1.5278750487013326e-13,-0.2088135417083569,-0.26184389927049967,-1.3503971356235973,0.3420778162729709
85,-1.495123383830631,1.2863068759053444,0.12723100982470345,-0.8209687845095752,0.1689888275992273,-2.729121717941517,0.9759447044743871
86,-1.4950765358758735,1.2860685086411558,-0.12776800717030784,-0.5138083722249833,-0.17580932328490112,1.021505317670862,0.5524841494597992
87,-1.3984839003515188,1.3929089727317696,0.12406444483646249,-0.749004937433051,0.17431088534841066,-2.526000393672157,0.9499184219657594
88,-1.3981674276294829,1.3916648657047253,-0.12661152581171045,-0.5843379739107757,-0.25319454634731287,0.8889778122128292,0.596578718445959
89,-1.723252875547442,0.9995610201105946,-0.005382374574698309,0.09001373665437862,0.09803054491182461,-1.2885058206654827,0.4051446250904577
90,-1.5873221447146304,1.1697866966588615,0.1284298785087448,-0.6574126652626121,0.40426152499898815,-2.84118742815956,1.0611493416781537
91,-1.58208059007324,1.1737196638537986,-0.13364619123218255,-0.3045955295733478,0.08558952084193097,1.0745944720148848,0.7219257500469547
92,-1.644807940758153,1.0639466583444541,-0.15417606246991603,-0.46117752027223824,0.2547063187983085,1.5314029708531616,0.7312338328578174
93,-1.6714121972764104,1.044965171420813,0.12955518938054225,-0.6925689204323066,0.3792569813104243,-2.8753870419459364,1.0917906242803443
94,-1.8559696566930204,0.7269635827560811,-0.000663909577515328,0.22026789183344603,0.5493159581104919,-1.5892709497259248,0.4185531675215001
95,-1.807594298822284,0.7880078442691696,0.1283801393853926,-0.5391258165832148,0.5963527528436887,-2.7160425288366357,1.0776675512070761
96,-1.8042432535144555,0.7854306544225983,-0.13708421500426587,-0.12680710055103636,0.2663928122734515,0.7796194440706593,0.6588940568296155
97,-1.7198903186424253,0.934369696136931,-0.15516606868717447,-0.4190024107742594,0.26008174434167486,1.4253549109232513,0.7309382505951825
98,-1.7454508151815429,0.9164702335043216,0.12950545025721985,-0.5447050430763475,0.6467271963791336,-2.865830851057655,1.050740726173873
99,-1.9438643033294398,0.44256581332722367,-0.00013951876559254242,0.2147960749317383,0.9367389328178053,-1.6862265080107253,0.5259364754107227
100,-1.8618084906172996,0.6505731797715866,0.12739815681397798,-0.44281068809793067,0.8549814761192506,-2.601034029883434,0.9163976165908628
101,-1.8628621748969607,0.6434916404570374,-0.13062134651278323,0.0356479981995214,0.5218708998786453,0.4966271740886032,0.44131169591018227
102,-1.9065813797834927,0.5091556487477322,0.124751565618924,-0.4022683856732671,0.8069921638834533,-2.288466292598148,0.9495827202477379
103,-1.90679817695738,0.5063850054554736,-0.12604488777130946,0.16651252732919963,0.6640276899820874,0.04403322073885796,0.44722783513708997
104,-1.988689357278841,0.14983041467611102,0.006241681307577764,0.04239833984053909,1.1657236477252395,-1.7763118031711065,0.5837792310055349
105,-1.959831599230843,0.2208687289397515,0.12737824380579188,-0.3405213955025776,0.9207158519658946,-1.6391099808395624,0.7796516189492158
106,-1.9395244422939415,0.36458551019764757,0.1247316526108668,-0.36591366352369276,1.0047748293161045,-2.082014423090595,0.7255636697496963
107,-1.9415154517465363,0.3640781264210546,-0.11913730150488255,0.20930031843932378,0.761535164864828,-0.22822109722068137,0.4528109274638457
108,-1.970839455738698,0.2253364717762839,-0.09771398492622009,0.30897203660262207,0.9291111972791704,-0.9814942669012077,0.488734182141835
109,-1.9876729282675352,-0.14837705296090797,-0.0006748346604219142,-0.08234349425432673,1.1627301722329675,-1.7188515220366227,0.6046331878995835
110,-1.9705261848498745,0.07222188197163519,0.12828260258777258,-0.33573916546787075,1.0202316558820255,-1.373026751387647,0.5274550137802492
