diamond_tag,primal_a,primal_b,face_k,face_l
1093,281,374,177,683
1094,281,376,181,606
1095,282,406,751,797
1096,283,314,57,86
1097,284,285,515,537
1098,284,340,280,537
1099,285,340,537,578
1100,285,345,113,639
1101,285,391,113,578
1102,286,287,211,595
1103,286,346,595,619
1104,287,339,246,538
1105,287,340,215,228
1106,287,346,215,595
1107,288,335,129,146
1108,288,362,129,780
1109,289,290,511,731
1110,289,372,691,731
1111,290,301,230,602
1112,290,343,230,544
1113,290,353,195,602
1114,290,372,195,731
1115,291,330,52,604
1116,291,403,558,604
1117,292,371,694,809
1118,292,380,735,809
1119,294,350,686,785
1120,294,396,765,785
1121,295,328,542,690
1122,295,349,647,690
1123,296,351,190,697
1124,297,298,531,721
1125,297,357,10,202
1126,297,375,613,721
1127,298,375,666,721
1128,299,331,480,670
1129,299,345,589,670
1130,301,343,230,675
1131,301,353,583,602
1132,302,303,552,590
1133,303,367,712,724
1134,304,359,460,492
1135,304,382,222,633
1136,305,306,294,547
1137,305,388,776,786
1138,306,366,624,641
1139,308,309,120,541
1140,308,310,242,767
1141,308,402,716,767
1142,309,323,194,588
1143,309,370,191,594
1144,310,313,204,214
1145,310,377,204,644
1146,310,386,214,764
1147,310,402,764,767
1148,311,368,755,758
1149,312,379,677,744
1150,312,384,677,717
1151,313,377,204,685
1152,313,386,39,214
1153,315,342,22,26
1154,315,397,22,793
1155,316,355,703,799
1156,316,404,798,799
1157,317,318,548,788
1158,317,409,729,788
1159,318,358,36,714
1160,318,373,49,601
1161,318,409,601,788
1162,319,358,83,700
1163,319,385,83,508
1164,320,324,21,45
1165,320,348,21,689
1166,321,381,711,741
1167,322,325,212,233
1168,322,364,710,759
1169,322,378,212,687
1170,322,401,233,759
1171,323,373,209,540
1172,323,409,209,655
1173,324,325,84,269
1174,324,348,21,128
1175,324,361,84,133
1176,325,361,84,584
1177,325,378,212,648
1178,325,401,233,584
1179,326,337,149,185
1180,326,369,149,692
1181,327,390,726,771
1182,328,349,679,690
1183,328,365,695,747
1184,329,361,654,766
1185,330,403,604,782
1186,331,345,670,770
1187,332,372,17,600
1188,332,387,617,768
1189,333,408,725,795
1190,334,365,792,796
1191,334,383,676,756
1192,335,344,650,715
1193,335,362,129,364
1194,336,341,41,67
1195,337,356,132,136
1196,337,369,149,630
1197,339,392,732,787
1198,340,346,215,476
1199,340,391,355,578
1200,342,397,22,106
1201,342,404,612,813
1202,343,395,791,803
1203,344,394,802,805
1204,345,391,109,113
1205,347,393,807,810
1206,347,403,682,808
1207,347,411,551,680
1208,348,384,800,818
1209,348,390,811,818
1210,349,388,730,736
1211,350,351,550,705
1212,350,396,785,804
1213,350,408,550,824
1214,351,408,549,550
1215,352,399,696,743
1216,353,371,119,168
1217,353,372,25,195
1218,355,398,812,820
1219,355,404,799,806
1220,356,362,678,693
1221,358,385,83,97
1222,359,406,769,814
1223,360,412,163,728
1224,361,401,584,816
1225,363,402,660,801
1226,364,401,759,819
1227,366,405,790,823
1228,368,397,131,789
1229,369,387,698,702
1230,371,380,809,821
1231,373,399,815,817
1232,373,409,209,601
1233,379,384,677,763
1234,384,390,818,822
1235,386,402,570,764
1236,398,412,159,746
